# Koordinaten-Liste (Lat, Lon)
# Export: 08.10.2025 07:25:29
# Gesamt: 493 Koordinaten

51.015777,13.792985  # "auto-kavalier"- admiral
51.067468,13.641145  # Fahrzeugservice und Handel
51.055200,13.636377  # Firma Jens Drechsler
51.022005,13.626340  # Frank's Motorradladen
51.008064,13.660018  # Franks Garage
50.996151,13.651708  # Freie KFZ-Meisterwerkstatt
51.061988,13.847568  # Go-Cars-Autoservice
51.041878,13.678604  # Gomodrom Automobile
51.041969,13.601421  # Hanitzsch GmbH & Co. KG
51.012433,13.795751  # Hartmann Karosserie- und Fahrzeugbau
50.512122,12.786572  # Herkommer Kfz-Technik
50.841082,13.939770  # Hickmann, Matthias
50.902074,13.976248  # Jrgen Schiebel
50.957005,13.904691  # KFZ-Meisterhandwerk
51.087326,13.704733  # KFZ-Service Holger Garz
50.924699,13.855797  # Karosserie- & KfZ-Service Derlich
51.094382,13.497605  # Karosserie- und Fahrzeugbau
50.954630,13.699610  # Karosseriebau Henschke
51.016483,13.676389  # Karosseriebau Miersch
51.016165,13.642441  # Keilig Willi Inh. A.Hhnel
50.890732,13.704637  # Kfz Reparatur
51.017302,13.771531  # Kfz-Aufbereitung Dresden
51.009968,13.789755  # Kfz-Meisterbetrieb Heyde
51.005906,13.816984  # Kfz-Meisterbetrieb Lommatzsch
51.039926,13.818667  # Kfz-Meisterbetrieb Stege
50.985624,13.714338  # Kfz-Meisterbetrieb Sllner
50.957623,13.956583  # Kfz-Service Hertling
50.976008,13.861615  # Kfz-Service Schlegel
52.545367,13.313218  # King Cars GmbH Nord
50.923217,13.924715  # Kloss Auto-Service
50.811271,12.881060  # Knoll GmbH
51.011761,13.851059  # Kraftwagen-Reparatur
51.115980,13.483360  # Kraftwagenpark Dresden
51.005574,13.822999  # Kuli's Carpoint
50.920378,12.713593  # LB
51.374564,14.067545  # Lackiererei
50.946617,13.944556  # Lars Richter
51.023437,13.621648  # Leon Automobile
50.986679,13.712595  # Lindner, Thomas GmbH
51.466372,13.618146  # MARTH Performance
51.029502,13.803489  # MELKUS Fahrzeugservice im SEC
51.110416,13.661138  # MLTec Automotive GmbH
51.381896,12.285680  # MOTORSTOPP
50.964910,13.716006  # Marko Heymann Kfz-Werkstatt
51.027953,13.801625  # Marks Dieselmotorentechnik
50.927291,13.956570  # Martin Faust
50.633323,12.316862  # Motorenbau - KURZ
51.090226,13.704953  # Motoreninstandsetzung
51.066234,13.675224  # Musti Autoaufbereitung
51.005920,13.776327  # PKW & Nutzfahrzeug Service
50.974318,13.877553  # PM Car Parts
50.984000,13.798521  # PMS Provocatione Motor Sport
51.057402,13.859047  # Peers Garage - Freie KFZ-Werkstatt
51.120471,13.643299  # Profil 25
50.896627,13.897712  # Rasche, Thomas
50.966805,13.701438  # Reifen Auto Service Glau
51.034208,13.584049  # Reifen-& Autoservice Roespel
51.005126,13.817413  # ReifenCenter Dresden
51.031836,13.664642  # Reifenhaus Freital GbR
51.223249,14.786576  # Ronald Halla
50.842042,13.637663  # SAG Sadisdorfer Agrar AG
51.041269,13.709488  # SachsenNetze GmbH
51.040738,13.600542  # SachsenNetze HS.HD GmbH
50.633382,12.316997  # Schafferus
51.458368,13.882635  # Schaschke Ruhland
51.022951,13.556563  # Schiba Bau GmbH
50.940057,13.696578  # Schmiede Woggon Karsdorf
51.077981,13.704800  # Schubert - BVFS
51.033268,13.703318  # Silbermann Fahrzeugservice
51.060864,13.687237  # Smart Repair u. Lackservice
51.119532,13.580880  # Sternclassics Autoservice
51.120633,13.581384  # Stockmann KFZ-Service
51.071078,13.788848  # TM Reifen und Autoservice
51.089480,13.723216  # TOM-Automobile.de GmbH
51.306212,12.260792  # Testa Baresi
51.367735,12.404102  # Thomas Bode
51.001835,13.828721  # Tom Tobisch
50.913395,13.047213  # V. Kluge GmbH
51.040007,13.648906  # VGRDD GmbH
51.059605,13.701992  # VGRDD GmbH
49.978626,8.291014  # Wacker+Dbler
51.218632,13.727842  # Werkstatt Swen Vogel
50.844044,13.927510  # Wunderlich, Martin
51.005126,13.817413  # a.t.l. autoteileland
